method,compliance_rate,seed,total_time
steffen_modified,0.5,18,419.0
random,0.5,19,457.0
back_to_front,0.5,19,447.3
front_to_back,0.5,19,498.55
wilma,0.5,19,421.65000000000003
steffen_perfect,0.5,19,422.6
steffen_modified,0.5,19,423.95000000000005
random,0.25,0,475.70000000000005
back_to_front,0.25,0,447.95000000000005
front_to_back,0.25,0,470.0
wilma,0.25,0,449.40000000000003
steffen_perfect,0.25,0,454.95000000000005
steffen_modified,0.25,0,446.95000000000005
random,0.25,1,449.55
back_to_front,0.25,1,427.0
front_to_back,0.25,1,453.95000000000005
wilma,0.25,1,433.35
steffen_perfect,0.25,1,440.6
steffen_modified,0.25,1,442.75
random,0.25,2,448.05
back_to_front,0.25,2,423.8
front_to_back,0.25,2,491.65000000000003
wilma,0.25,2,441.35
steffen_perfect,0.25,2,428.55
steffen_modified,0.25,2,444.8
random,0.25,3,463.70000000000005
back_to_front,0.25,3,463.75
front_to_back,0.25,3,478.8
wilma,0.25,3,454.05
steffen_perfect,0.25,3,456.6
steffen_modified,0.25,3,456.90000000000003
random,0.25,4,459.15000000000003
back_to_front,0.25,4,457.40000000000003
front_to_back,0.25,4,465.05
wilma,0.25,4,459.95000000000005
steffen_perfect,0.25,4,446.3
steffen_modified,0.25,4,440.5
random,0.25,5,461.5
back_to_front,0.25,5,448.70000000000005
front_to_back,0.25,5,474.70000000000005
wilma,0.25,5,444.95000000000005
steffen_perfect,0.25,5,441.0
steffen_modified,0.25,5,448.45000000000005
random,0.25,6,485.85
back_to_front,0.25,6,468.75
front_to_back,0.25,6,479.05
wilma,0.25,6,452.8
steffen_perfect,0.25,6,464.95000000000005
steffen_modified,0.25,6,462.1
random,0.25,7,430.20000000000005
back_to_front,0.25,7,422.0
front_to_back,0.25,7,445.1
wilma,0.25,7,429.20000000000005
steffen_perfect,0.25,7,432.20000000000005
steffen_modified,0.25,7,433.25
random,0.25,8,470.45000000000005
back_to_front,0.25,8,428.05
front_to_back,0.25,8,468.45000000000005
wilma,0.25,8,440.40000000000003
steffen_perfect,0.25,8,427.45000000000005
steffen_modified,0.25,8,436.5
random,0.25,9,447.65000000000003
back_to_front,0.25,9,433.90000000000003
front_to_back,0.25,9,453.90000000000003
wilma,0.25,9,430.65000000000003
steffen_perfect,0.25,9,425.35
steffen_modified,0.25,9,434.8
random,0.25,10,448.90000000000003
back_to_front,0.25,10,443.3
front_to_back,0.25,10,471.25
wilma,0.25,10,452.70000000000005
steffen_perfect,0.25,10,443.20000000000005
steffen_modified,0.25,10,455.55
random,0.25,11,444.95000000000005
back_to_front,0.25,11,444.15000000000003
