method,group_fraction,seed,total_time
front_to_back,0.6,0,592.95
wilma,0.6,0,430.40000000000003
steffen_perfect,0.6,0,393.85
steffen_modified,0.6,0,386.40000000000003
random,0.6,1,448.85
back_to_front,0.6,1,436.85
front_to_back,0.6,1,568.6
wilma,0.6,1,412.40000000000003
steffen_perfect,0.6,1,384.90000000000003
steffen_modified,0.6,1,381.90000000000003
random,0.6,2,451.95000000000005
back_to_front,0.6,2,433.65000000000003
front_to_back,0.6,2,581.15
wilma,0.6,2,411.45000000000005
steffen_perfect,0.6,2,392.15000000000003
steffen_modified,0.6,2,386.65000000000003
random,0.6,3,440.90000000000003
back_to_front,0.6,3,422.45000000000005
front_to_back,0.6,3,588.0
wilma,0.6,3,423.75
steffen_perfect,0.6,3,391.6
steffen_modified,0.6,3,373.5
random,0.6,4,425.45000000000005
back_to_front,0.6,4,447.15000000000003
front_to_back,0.6,4,571.25
wilma,0.6,4,432.25
steffen_perfect,0.6,4,385.6
steffen_modified,0.6,4,387.8
random,0.6,5,432.15000000000003
back_to_front,0.6,5,421.55
front_to_back,0.6,5,576.0
wilma,0.6,5,396.40000000000003
steffen_perfect,0.6,5,388.6
steffen_modified,0.6,5,375.70000000000005
random,0.6,6,452.5
back_to_front,0.6,6,414.65000000000003
front_to_back,0.6,6,550.5500000000001
wilma,0.6,6,416.25
steffen_perfect,0.6,6,379.35
steffen_modified,0.6,6,378.15000000000003
random,0.6,7,412.55
back_to_front,0.6,7,400.55
front_to_back,0.6,7,540.0
wilma,0.6,7,385.20000000000005
steffen_perfect,0.6,7,372.70000000000005
steffen_modified,0.6,7,371.1
random,0.6,8,427.20000000000005
back_to_front,0.6,8,422.75
front_to_back,0.6,8,577.25
wilma,0.6,8,404.45000000000005
steffen_perfect,0.6,8,370.1
steffen_modified,0.6,8,374.15000000000003
random,0.6,9,459.0
back_to_front,0.6,9,422.75
front_to_back,0.6,9,550.4
wilma,0.6,9,401.3
steffen_perfect,0.6,9,389.65000000000003
steffen_modified,0.6,9,373.20000000000005
random,0.6,10,436.15000000000003
back_to_front,0.6,10,423.6
front_to_back,0.6,10,562.4
wilma,0.6,10,410.95000000000005
